"IdCliente","NombreEmpresa","NombreContacto","CargoContacto","Direccion","Ciudad","Region","CodPostal","Pais","Telefono","Fax"
"FRANK","Frankenversand","Peter Franken","Gerente de marketing","Berliner Platz 43","M?nchen",NULL,"80805","Alemania","089-0877310","089-0877451"
"FRANR","France restauration","Carine Schmitt","Gerente de marketing","54, rue Royale","Nantes",NULL,"44000","Francia","40.32.21.21","40.32.21.20"
"FRANS","Franchi S.p.A.","Paolo Accorti","Representante de ventas","Via Monte Bianco 34","Torino",NULL,"10100","Italia","011-4988260","011-4988261"
"FURIB","Furia Bacalhau e Frutos do Mar","Lino Rodriguez ","Gerente de ventas","Jardim das rosas n. 32","Lisboa",NULL,"1675","Portugal","(1) 354-2534","(1) 354-2535"
"GALED","Galer?a del gastr?nomo","Eduardo Saavedra","Gerente de marketing","Rambla de Catalu?a, 23","Barcelona",NULL,"08022","Espa?a","(93) 203 4560","(93) 203 4561"
"GODOS","Godos Cocina T?pica","Jos? Pedro Freyre","Gerente de ventas","C/ Romero, 33","Sevilla",NULL,"41101","Espa?a","(95) 555 82 82",NULL
"GOURL","Gourmet Lanchonetes","Andr? Fonseca","Asistente de ventas","Av. Brasil, 442","Campinas","SP","04876-786","Brasil","(11) 555-9482",NULL
"GREAL","Great Lakes Food Market","Howard Snyder","Gerente de marketing","2732 Baker Blvd.","Eugenia","OR","97403","Estados Unidos","(503) 555-7555",NULL
"GROSR","GROSELLA-Restaurante","Manuel Pereira","Propietario","5? Ave. Los Palos Grandes","Caracas","DF","1081","Venezuela","(2) 283-2951","(2) 283-3397"
"HANAR","Hanari Carnes","Mario Pontes","Gerente de contabilidad","Rua do Pa?o, 67","Rio de Janeiro","RJ","05454-876","Brasil","(21) 555-0091","(21) 555-8765"
"HILAA","HILARI?N-Abastos","Carlos Hern?ndez","Representante de ventas","Carrera 22 con Ave. Carlos Soublette #8-35","San Crist?bal","T?chira","5022","Venezuela","(5) 555-1340","(5) 555-1948"
"HUNGC","Hungry Coyote Import Store","Yoshi Latimer","Representante de ventas","City Center Plaza516 Main St.","Elgin","OR","97827","Estados Unidos","(503) 555-6874","(503) 555-2376"
"HUNGO","Hungry Owl All-Night Grocers","Patricia McKenna","Asistente de ventas","8 Johnstown Road","Cork","Co. Cork",NULL,"Irlanda","2967 542","2967 3333"
"ISLAT","Island Trading","Helen Bennett","Gerente de marketing","Garden HouseCrowther Way","Cowes","Isla de Wight","PO31 7PJ","Reino Unido","(198) 555-8888",NULL
"KOENE","K?niglich Essen","Philip Cramer","Asistente de ventas","Maubelstr. 90","Brandenburgo",NULL,"14776","Alemania","0555-09876",NULL
"LACOR","La corne d'abondance","Daniel Tonini","Representante de ventas","67, avenue de l'Europe","Versalles",NULL,"78000","Francia","30.59.84.10","30.59.85.11"
"LAMAI","La maison d'Asie","Annette Roulet","Gerente de ventas","1 rue Alsace-Lorraine","Toulouse",NULL,"31000","Francia","61.77.61.10","61.77.61.11"
"LAUGB","Laughing Bacchus Wine Cellars","Yoshi Tannamuri","Asistente de marketing","1900 Oak St.","Vancouver","BC","V3F 2K1","Canad?","(604) 555-3392","(604) 555-7293"
"LAZYK","Lazy K Kountry Store","John Steel","Gerente de marketing","12 Orchestra Terrace","Walla Walla","WA","99362","Estados Unidos","(509) 555-7969","(509) 555-6221"
"LEHMS","Lehmanns Marktstand","Renate Messner","Representante de ventas","Magazinweg 7","Francfurt",NULL,"60528","Alemania","069-0245984","069-0245874"
"LETSS","Let's Stop N Shop","Jaime Yorres","Propietario","87 Polk St.Suite 5","San Francisco","CA","94117","Estados Unidos","(415) 555-5938",NULL
"LILAS","LILA-Supermercado","Carlos Gonz?lez","Gerente de contabilidad","Carrera 52 con Ave. Bol?var #65-98 Llano Largo","Barquisimeto","Lara","3508","Venezuela","(9) 331-6954","(9) 331-7256"
"LINOD","LINO-Delicateses","Felipe Izquierdo","Propietario","Ave. 5 de Mayo Porlamar","I. de Margarita","Nueva Esparta","4980","Venezuela","(8) 34-56-12","(8) 34-93-93"
"LONEP","Lonesome Pine Restaurant","Fran Wilson","Gerente de ventas","89 Chiaroscuro Rd.","Portland","OR","97219","Estados Unidos","(503) 555-9573","(503) 555-9646"
"MAGAA","Magazzini Alimentari Riuniti","Giovanni Rovelli","Gerente de marketing","Via Ludovico il Moro 22","B?rgamo",NULL,"24100","Italia","035-640230","035-640231"
"MAISD","Maison Dewey","Catherine Dewey","Agente de ventas","Rue Joseph-Bens 532","Bruselas",NULL,"B-1180","B?lgica","(02) 201 24 67","(02) 201 24 68"
"MEREP","M?re Paillarde","Jean Fresni?re","Asistente de marketing","43 rue St. Laurent","Montreal","Qu?bec","H1J 1C3","Canad?","(514) 555-8054","(514) 555-8055"
"MORGK","Morgenstern Gesundkost","Alexander Feuer","Asistente de marketing","Heerstr. 22","Leipzig",NULL,"04179","Alemania","0342-023176",NULL
"NORTS","North/South","Simon Crowther","Asistente de ventas","South House300 Queensbridge","Londres",NULL,"SW7 1RZ","Reino Unido","(71) 555-7733","(71) 555-2530"
"OCEAN","Oc?ano Atl?ntico Ltda.","Yvonne Moncada","Agente de ventas","Ing. Gustavo Moncada 8585Piso 20-A","Buenos Aires",NULL,"1010","Argentina","(1) 135-5333","(1) 135-5535"
"OLDWO","Old World Delicatessen","Rene Phillips","Representante de ventas","2743 Bering St.","Anchorage","AK","99508","Estados Unidos","(907) 555-7584","(907) 555-2880"
"OTTIK","Ottilies K?seladen","Henriette Pfalzheim","Propietario","Mehrheimerstr. 369","K?ln",NULL,"50739","Alemania","0221-0644327","0221-0765721"
"PARIS","Paris sp?cialit?s","Marie Bertrand","Propietario","265, boulevard Charonne","Par?s",NULL,"75012","Francia","(1) 42.34.22.66","(1) 42.34.22.77"
"PERIC","Pericles Comidas cl?sicas","Guillermo Fern?ndez","Representante de ventas","Calle Dr. Jorge Cash 321","M?xico D.F.",NULL,"05033","M?xico","(5) 552-3745","(5) 545-3745"
"PICCO","Piccolo und mehr","Georg Pipps","Gerente de ventas","Geislweg 14","Salzburgo",NULL,"5020","Austria","6562-9722","6562-9723"
"PRINI","Princesa Isabel Vinhos","Isabel de Castro","Representante de ventas","Estrada da sa?de n. 58","Lisboa",NULL,"1756","Portugal","(1) 356-5634",NULL
"QUEDE","Que Del?cia","Bernardo Batista","Gerente de contabilidad","Rua da Panificadora, 12","Rio de Janeiro","RJ","02389-673","Brasil","(21) 555-4252","(21) 555-4545"
"QUEEN","Queen Cozinha","L?cia Carvalho","Asistente de marketing","Alameda dos Can?rios, 891","Sao Paulo","SP","05487-020","Brasil","(11) 555-1189",NULL
"QUICK","QUICK-Stop","Horst Kloss","Gerente de contabilidad","Taucherstra?e 10","Cunewalde",NULL,"01307","Alemania","0372-035188",NULL
"RANCH","Rancho grande","Sergio Guti?rrez","Representante de ventas","Av. del Libertador 900","Buenos Aires",NULL,"1010","Argentina","(1) 123-5555","(1) 123-5556"
"RATTC","Rattlesnake Canyon Grocery","Paula Wilson","Representante agente ventas","2817 Milton Dr.","Albuquerque","NM","87110","Estados Unidos","(505) 555-5939","(505) 555-3620"
"REGGC","Reggiani Caseifici","Maurizio Moroni","Asistente de ventas","Strada Provinciale 124","Reggio Emilia",NULL,"42100","Italia","0522-556721","0522-556722"
"RICAR","Ricardo Adocicados","Janete Limeira","Asistente de agente de ventas","Av. Copacabana, 267","Rio de Janeiro","RJ","02389-890","Brasil","(21) 555-3412",NULL
"RICSU","Richter Supermarkt","Michael Holz","Gerente de ventas","Grenzacherweg 237","G?nova",NULL,"1203","Suiza","0897-034214",NULL
"ROMEY","Romero y tomillo","Alejandra Camino","Gerente de contabilidad","Gran V?a, 1","Madrid",NULL,"28001","Espa?a","(91) 745 6200","(91) 745 6210"
"SANTG","Sant? Gourmet","Jonas Bergulfsen","Propietario","Erling Skakkes gate 78","Stavern",NULL,"4110","Noruega","07-98 92 35","07-98 92 47"
"SAVEA","Save-a-lot Markets","Jose Pavarotti","Representante de ventas","187 Suffolk Ln.","Boise","ID","83720","Estados Unidos","(208) 555-8097",NULL
"SEVES","Seven Seas Imports","Hari Kumar","Gerente de ventas","90 Wadhurst Rd.","Londres",NULL,"OX15 4NB","Reino Unido","(71) 555-1717","(71) 555-5646"
"SIMOB","Simons bistro","Jytte Petersen","Propietario","Vinb?ltet 34","K?benhavn",NULL,"1734","Dinamarca","31 12 34 56","31 13 35 57"
"SPECD","Sp?cialit?s du monde","Dominique Perrier","Gerente de marketing","25, rue Lauriston","Par?s",NULL,"75016","Francia","(1) 47.55.60.10","(1) 47.55.60.20"
"SPLIR","Split Rail Beer & Ale","Art Braunschweiger","Gerente de ventas","P.O. Box 555","Lander","WY","82520","Estados Unidos","(307) 555-4680","(307) 555-6525"
"SUPRD","Supr?mes d?lices","Pascale Cartrain","Gerente de contabilidad","Boulevard Tirou, 255","Charleroi",NULL,"B-6000","B?lgica","(071) 23 67 22 20","(071) 23 67 22 21"
"THEBI","The Big Cheese","Liz Nixon","Gerente de marketing","89 Jefferson WaySuite 2","Portland","OR","97201","Estados Unidos","(503) 555-3612",NULL
"THECR","The Cracker Box","Liu Wong","Asistente de marketing","55 Grizzly Peak Rd.","Butte","MT","59801","Estados Unidos","(406) 555-5834","(406) 555-8083"
"TOMSP","Toms Spezialit?ten","Karin Josephs","Gerente de marketing","Luisenstr. 48","M?nster",NULL,"44087","Alemania","0251-031259","0251-035695"
"TORTU","Tortuga Restaurante","Miguel Angel Paolino","Propietario","Avda. Azteca 123","M?xico D.F.",NULL,"05033","M?xico","(5) 555-2933",NULL
"TRADH","Tradi??o Hipermercados","Anabela Domingues","Representante de ventas","Av. In?s de Castro, 414","Sao Paulo","SP","05634-030","Brasil","(11) 555-2167","(11) 555-2168"
"TRAIH","Trail's Head Gourmet Provisioners","Helvetius Nagy","Asistente de ventas","722 DaVinci Blvd.","Kirkland","WA","98034","Estados Unidos","(206) 555-8257","(206) 555-2174"
"VAFFE","Vaffeljernet","Palle Ibsen","Gerente de ventas","Smagsl?get 45","?rhus",NULL,"8200","Dinamarca","86 21 32 43","86 22 33 44"
"VICTE","Victuailles en stock","Mary Saveley","Agente de ventas","2, rue du Commerce","Lion",NULL,"69004","Francia","78.32.54.86","78.32.54.87"
"VINET","Vins et alcools Chevalier","Paul Henriot","Gerente de contabilidad","59 rue de l'Abbaye","Reims",NULL,"51100","Francia","26.47.15.10","26.47.15.11"
"WANDK","Die Wandernde Kuh","Rita M?ller","Representante de ventas","Adenauerallee 900","Stuttgart",NULL,"70563","Alemania","0711-020361","0711-035428"
"WARTH","Wartian Herkku","Pirkko Koskitalo","Gerente de contabilidad","Torikatu 38","Oulu",NULL,"90110","Finlandia","981-443655","981-443655"
"WELLI","Wellington Importadora","Paula Parente","Gerente de ventas","Rua do Mercado, 12","Resende","SP","08737-363","Brasil","(14) 555-8122",NULL
"WHITC","White Clover Markets","Karl Jablonski","Propietario","305 - 14th Ave. S.Suite 3B","Seattle","WA","98128","Estados Unidos","(206) 555-4112","(206) 555-4115"
"WILMK","Wilman Kala","Matti Karttunen","Prop./Asistente marketing","Keskuskatu 45","Helsinki",NULL,"21240","Finlandia","90-224 8858","90-224 8858"
"WOLZA","Wolski  Zajazd","Zbyszek Piestrzeniewicz","Propietario","ul. Filtrowa 68","Warszawa",NULL,"01-012","Polonia","(26) 642-7012","(26) 642-7012"
